CustomerID,Age,Gender,Tenure,Annual_Income,Spending_Score,Credit_Score,Online_Activity,True_Segment,Cluster,Distance_to_Target
1000,52,Male,8,3247.810389866344,1.0,309,5.0,Premium-Loyalists,0,2.6050419552147015
1001,42,Male,34,87326.82290708656,100.0,300,5.0,Digital-Shoppers,3,0.5610348266810831
1002,54,Male,59,63035.383808387145,100.0,309,5.0,Digital-Shoppers,3,0.11343094661861829
1003,67,Male,18,24283.525137319884,100.0,775,3.8,Budget-Conscious,2,2.4840707954242416
1004,41,Male,95,20981.835899226426,1.0,300,5.0,Premium-Loyalists,0,2.3202445672894783
1005,41,Female,59,9548.177786580998,1.0,300,5.0,Premium-Loyalists,0,2.4971377122014715
1006,68,Female,27,28886.72247898912,100.0,835,4.9,Budget-Conscious,2,2.5630635927379863
1007,56,Female,16,31026.233383973955,100.0,850,4.9,Budget-Conscious,2,2.6024474639092166
1008,37,Male,10,15115.592066050043,1.0,307,5.0,Premium-Loyalists,0,2.4076332729975713
1009,53,Male,104,34707.866162071274,100.0,831,4.6,Budget-Conscious,2,2.4991913716875818
1010,38,Male,76,59866.76904772244,100.0,304,5.0,Digital-Shoppers,3,0.1905299631117551
1011,38,Female,22,112762.27845677908,1.0,307,1.0,Credit-Reliant,1,3.3426012811641796
1012,48,Female,16,110687.37217207754,1.0,335,1.0,Credit-Reliant,1,3.3249088672631513
1013,18,Female,12,31319.61298190284,100.0,837,4.5,Budget-Conscious,2,2.5629078923614457
1014,19,Male,75,3282.1690739255723,1.0,315,5.0,Premium-Loyalists,0,2.6047622978288256
1015,36,Female,84,72527.28941548805,100.0,300,5.0,Digital-Shoppers,3,0.17017451101650413
1016,29,Male,51,102899.6170901834,1.0,483,1.0,Credit-Reliant,1,3.3477884356553704
1017,49,Female,1,18869.57876631559,1.0,300,5.0,Premium-Loyalists,0,2.3508883958072735
1018,31,Female,27,68963.53848053156,100.0,300,5.0,Digital-Shoppers,3,0.08732365396315016
1019,23,Female,67,46965.523008316966,100.0,833,4.1,Budget-Conscious,2,2.4622369094071193
1020,66,Female,12,9839.79552233738,100.0,839,3.9,Budget-Conscious,2,2.896732826986033
1021,41,Male,30,22880.585444767166,1.0,305,5.0,Premium-Loyalists,0,2.2934556017157175
1022,46,Female,9,8122.941374665948,1.0,319,5.0,Premium-Loyalists,0,2.5216545263364365
1023,23,Female,53,59857.253755023696,100.0,300,5.0,Digital-Shoppers,3,0.19192103660639018
